Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
A,12/30/2024,12/30/2024,Payment Thank You - Web,,Payment,634.39,
3168,12/08/2024,12/08/2024,AUTOMATIC PAYMENT - THANK,,Payment,40.00,
3168,11/08/2024,11/08/2024,AUTOMATIC PAYMENT - THANK,,Payment,40.00,
3168,11/04/2024,11/05/2024,BESTBUY.COM   00009944,Merchandise & Inventory,Sale,-225.24,
3168,10/15/2024,10/16/2024,BESTBUYCOM806975419757,Merchandise & Inventory,Sale,-5.24,
3168,10/15/2024,10/16/2024,BESTBUYCOM806975419757,Merchandise & Inventory,Sale,-247.55,
3168,10/11/2024,10/11/2024,AMAZON MKTPL*BP78144W3,Merchandise & Inventory,Sale,-236.36,
3168,10/04/2024,10/04/2024,Payment Thank You - Web,,Payment,3576.21,
3168,09/27/2024,09/29/2024,RAUNER FAMILY YMCA,Health & Wellness,Sale,-1215.00,
3168,09/27/2024,09/29/2024,CHICAGO PARK DISTRICT,Bills & Utilities,Sale,-300.00,
3168,09/24/2024,09/24/2024,RPS - Bollinger Sports,Bills & Utilities,Sale,-770.63,
3168,09/05/2024,09/06/2024,ACT*CPD 312-742-PLAY /,Bills & Utilities,Sale,-81.00,
3168,09/03/2024,09/03/2024,FEVOINC*CHICAGOFIREFC,Entertainment,Sale,-288.60,
3168,08/30/2024,09/01/2024,ACT*CPD 312-742-PLAY /,Bills & Utilities,Sale,-81.00,
3168,08/28/2024,08/28/2024,Payment Thank You - Web,,Payment,4465.59,
3168,08/27/2024,08/28/2024,BAZOOKAGOAL.COM,Office & Shipping,Sale,-839.98,
3168,08/23/2024,08/25/2024,ACT*CPD 312-742-PLAY /,Bills & Utilities,Sale,-162.00,
3168,08/21/2024,08/22/2024,BESTBUYCOM806959188485,Merchandise & Inventory,Sale,-9.75,
3168,08/21/2024,08/22/2024,BESTBUYCOM806959188485,Merchandise & Inventory,Sale,-276.24,
3168,08/15/2024,08/16/2024,RAUNER FAMILY YMCA,Health & Wellness,Sale,-1890.00,
3168,08/08/2024,08/09/2024,ACT*CPD 312-742-PLAY /,Bills & Utilities,Sale,-81.00,
3168,08/02/2024,08/04/2024,CHICAGO PARK DISTRICT,Bills & Utilities,Sale,-300.00,
3168,08/01/2024,08/02/2024,ACT*CPD 312-742-PLAY /,Bills & Utilities,Sale,-81.00,
3168,07/25/2024,07/26/2024,DicksSportingGoods.com,Merchandise & Inventory,Sale,-180.60,
3168,07/22/2024,07/23/2024,RAUNER FAMILY YMCA,Health & Wellness,Sale,-1485.00,
3168,07/16/2024,07/16/2024,Payment Thank You - Web,,Payment,3740.11,
3168,07/08/2024,07/08/2024,LATE FEE,Fees & Adjustments,Fee,-40.00,
3168,06/26/2024,06/27/2024,RAUNER FAMILY YMCA,Health & Wellness,Sale,-1890.00,
3168,06/07/2024,06/09/2024,AMZN Mktp US*W61I784Q3,Merchandise & Inventory,Sale,-55.11,
3168,05/20/2024,05/21/2024,RAUNER FAMILY YMCA,Health & Wellness,Sale,-1755.00,
